machine_id,day,available
M1,1,1
M1,2,1
M1,3,1
M1,4,1
M1,5,1
M1,6,1
M1,7,1
M1,8,1
M1,9,1
M1,10,1
M1,11,1
M1,12,1
M1,13,1
M1,14,1
M1,15,1
M1,16,1
M1,17,1
M1,18,1
M1,19,1
M1,20,1
M1,21,1
M1,22,1
M1,23,1
M1,24,1
M1,25,1
M1,26,1
M1,27,1
M1,28,1
M1,29,1
M1,30,1
M1,31,1
M1,32,1
M1,33,1
M1,34,1
M1,35,1
M1,36,1
M1,37,1
M1,38,1
M1,39,1
M1,40,1
M1,41,1
M1,42,1
M1,43,1
M1,44,0
M1,45,1
M1,46,1
M1,47,1
M1,48,1
M1,49,1
M1,50,1
M1,51,1
M1,52,1
M1,53,1
M1,54,1
M1,55,1
M1,56,1
M1,57,1
M1,58,1
M1,59,1
M1,60,0
M1,61,1
M1,62,1
M1,63,1
M1,64,1
M1,65,1
M1,66,1
M1,67,1
M1,68,1
M1,69,1
M1,70,1
M1,71,0
M1,72,1
M1,73,1
M1,74,1
M1,75,0
M1,76,0
M1,77,1
M1,78,1
M1,79,1
M1,80,1
M1,81,1
M1,82,1
M1,83,1
M1,84,1
M1,85,1
M1,86,1
M1,87,1
M1,88,1
M1,89,1
M1,90,1
M1,91,1
M1,92,1
M1,93,0
M1,94,1
M1,95,1
M1,96,1
M1,97,1
M1,98,1
M1,99,1
M1,100,1
M1,101,1
M1,102,1
M1,103,1
M1,104,1
M1,105,1
M1,106,1
M1,107,1
M1,108,1
M1,109,1
M1,110,1
M1,111,1
M1,112,1
M2,1,1
M2,2,1
M2,3,1
M2,4,1
M2,5,1
M2,6,1
M2,7,1
M2,8,1
M2,9,1
M2,10,1
M2,11,0
M2,12,1
M2,13,1
M2,14,1
M2,15,1
M2,16,1
M2,17,0
M2,18,1
M2,19,1
M2,20,0
M2,21,0
M2,22,1
M2,23,1
M2,24,1
M2,25,1
M2,26,1
M2,27,1
M2,28,1
M2,29,1
M2,30,1
M2,31,1
M2,32,1
M2,33,1
M2,34,1
M2,35,0
M2,36,1
M2,37,1
M2,38,1
M2,39,1
M2,40,1
M2,41,1
M2,42,1
M2,43,1
M2,44,1
M2,45,1
M2,46,1
M2,47,1
M2,48,1
M2,49,1
M2,50,1
M2,51,1
M2,52,1
M2,53,0
M2,54,1
M2,55,1
M2,56,1
M2,57,1
M2,58,1
M2,59,0
M2,60,1
M2,61,1
M2,62,1
M2,63,0
M2,64,1
M2,65,0
M2,66,0
M2,67,1
M2,68,1
M2,69,1
M2,70,1
M2,71,1
M2,72,1
M2,73,1
M2,74,0
M2,75,1
M2,76,0
M2,77,1
M2,78,1
M2,79,1
M2,80,1
M2,81,1
M2,82,0
M2,83,1
M2,84,1
M2,85,1
M2,86,1
M2,87,1
M2,88,1
M2,89,1
M2,90,0
M2,91,1
M2,92,0
M2,93,1
M2,94,1
M2,95,1
M2,96,1
M2,97,1
M2,98,1
M2,99,1
M2,100,1
M2,101,1
M2,102,0
M2,103,1
M2,104,1
M2,105,1
M2,106,1
M2,107,1
M2,108,1
M2,109,1
M2,110,1
M2,111,1
M2,112,1
